x(m)	y(m)	Flux(W/m2)
0.00109956	0.06	11385.7
0.00329867	0.06	8371.83
0.00549779	0.06	2344.11
0.0076969	0.06	3348.73
0.00989602	0.06	1004.62
0.0120951	0.06	1004.62
0.0142942	0.06	0
0.0164934	0.06	1004.62
0.0186925	0.06	334.873
0.0208916	0.06	1004.62
0.0230907	0.06	0
0.0252898	0.06	1339.49
0.0274889	0.06	669.746
0.0296881	0.06	1004.62
0.0318872	0.06	1339.49
0.0340863	0.06	1339.49
0.0362854	0.06	1004.62
0.0384845	0.06	1674.37
0.0406836	0.06	334.873
0.0428827	0.06	669.746
0.0450819	0.06	1004.62
0.047281	0.06	1339.49
0.0494801	0.06	1674.37
0.0516792	0.06	669.746
0.0538783	0.06	1004.62
0.0560774	0.06	334.873
0.0582765	0.06	1674.37
0.0604757	0.06	1674.37
0.0626748	0.06	1004.62
0.0648739	0.06	1339.49
0.067073	0.06	669.746
0.0692721	0.06	1674.37
0.0714712	0.06	1004.62
0.0736704	0.06	669.746
0.0758695	0.06	669.746
0.0780686	0.06	334.873
0.0802677	0.06	1004.62
0.0824668	0.06	334.873
0.0846659	0.06	2009.24
0.086865	0.06	1674.37
0.0890642	0.06	0
0.0912633	0.06	0
0.0934624	0.06	334.873
0.0956615	0.06	669.746
0.0978606	0.06	669.746
0.10006	0.06	2678.99
0.102259	0.06	1339.49
0.104458	0.06	3348.73
0.106657	0.06	7032.34
0.108856	0.06	10715.9
0.111055	0.06	12725.2
0.113254	0.06	19422.6
0.115454	0.06	27459.6
0.117653	0.06	36836
0.119852	0.06	38510.4
0.122051	0.06	46882.2
0.12425	0.06	48221.7
0.126449	0.06	43198.6
0.128648	0.06	57598.2
0.130847	0.06	61281.8
0.133046	0.06	55254.1
0.135246	0.06	51905.3
0.137445	0.06	54584.3
0.139644	0.06	51905.3
0.141843	0.06	47217.1
0.144042	0.06	48556.6
0.146241	0.06	44203.3
0.14844	0.06	41859.1
0.150639	0.06	42863.8
0.152838	0.06	50231
0.155038	0.06	46212.5
0.157237	0.06	42194
0.159436	0.06	43198.6
0.161635	0.06	40854.5
0.163834	0.06	44203.3
0.166033	0.06	37505.8
0.168232	0.06	42194
0.170431	0.06	41524.3
0.172631	0.06	45542.8
0.17483	0.06	44203.3
0.177029	0.06	49896.1
0.179228	0.06	53914.6
0.181427	0.06	41524.3
0.183626	0.06	47886.9
0.185825	0.06	48221.7
0.188024	0.06	50231
0.190223	0.06	54584.3
0.192423	0.06	53914.6
0.194622	0.06	50231
0.196821	0.06	55588.9
0.19902	0.06	51905.3
0.201219	0.06	52910
0.203418	0.06	55923.8
0.205617	0.06	48556.6
0.207816	0.06	50231
0.210015	0.06	43198.6
0.212215	0.06	33822.2
0.214414	0.06	27459.6
0.216613	0.06	20427.3
0.218812	0.06	15069.3
0.00109956	0.18	13729.8
0.00329867	0.18	7032.34
0.00549779	0.18	3013.86
0.0076969	0.18	2009.24
0.00989602	0.18	1674.37
0.0120951	0.18	1004.62
0.0142942	0.18	1004.62
0.0164934	0.18	0
0.0186925	0.18	1004.62
0.0208916	0.18	1004.62
0.0230907	0.18	669.746
0.0252898	0.18	669.746
0.0274889	0.18	669.746
0.0296881	0.18	1004.62
0.0318872	0.18	669.746
0.0340863	0.18	669.746
0.0362854	0.18	669.746
0.0384845	0.18	669.746
0.0406836	0.18	669.746
0.0428827	0.18	334.873
0.0450819	0.18	334.873
0.047281	0.18	1004.62
0.0494801	0.18	1674.37
0.0516792	0.18	669.746
0.0538783	0.18	1339.49
0.0560774	0.18	0
0.0582765	0.18	1674.37
0.0604757	0.18	669.746
0.0626748	0.18	0
0.0648739	0.18	1674.37
0.067073	0.18	334.873
0.0692721	0.18	334.873
0.0714712	0.18	1004.62
0.0736704	0.18	669.746
0.0758695	0.18	669.746
0.0780686	0.18	1004.62
0.0802677	0.18	0
0.0824668	0.18	669.746
0.0846659	0.18	334.873
0.086865	0.18	334.873
0.0890642	0.18	669.746
0.0912633	0.18	1339.49
0.0934624	0.18	334.873
0.0956615	0.18	1004.62
0.0978606	0.18	1339.49
0.10006	0.18	3348.73
0.102259	0.18	2678.99
0.104458	0.18	4688.22
0.106657	0.18	11050.8
0.108856	0.18	11720.6
0.111055	0.18	15069.3
0.113254	0.18	20427.3
0.115454	0.18	28799.1
0.117653	0.18	32482.7
0.119852	0.18	41524.3
0.122051	0.18	47886.9
0.12425	0.18	51570.5
0.126449	0.18	55588.9
0.128648	0.18	61281.8
0.130847	0.18	59607.4
0.133046	0.18	62956.2
